UPGRADED Optimization Log - Symbol: GBP - Date: 2026-05-13
Note: Only cycles with >= 5 trades are logged and counted.
----------------------------------------------------------------
Valid Cycle 044 (Attempt 98): PPH=-0.91   | Trades=43  | H=32 M=23 L=2 Off=1.7 Min=5 TP=20.0 SL=None
Valid Cycle 045 (Attempt 101): PPH=2.04    | Trades=15  | H=18 M=15 L=7 Off=-0.45 Min=10 TP=10.0 SL=30.0
Valid Cycle 046 (Attempt 104): PPH=2.59    | Trades=20  | H=51 M=27 L=10 Off=1.59 Min=10 TP=None SL=30.0
Valid Cycle 047 (Attempt 109): PPH=0.81    | Trades=24  | H=38 M=16 L=10 Off=1.91 Min=10 TP=10.0 SL=20.0
Valid Cycle 048 (Attempt 110): PPH=2.64    | Trades=40  | H=26 M=24 L=15 Off=0.49 Min=2 TP=None SL=30.0
Valid Cycle 049 (Attempt 111): PPH=2.06    | Trades=20  | H=47 M=9 L=6 Off=-0.05 Min=5 TP=30.0 SL=10.0
Valid Cycle 050 (Attempt 117): PPH=1.68    | Trades=17  | H=41 M=30 L=6 Off=0.85 Min=15 TP=30.0 SL=30.0
Valid Cycle 051 (Attempt 119): PPH=-0.85   | Trades=25  | H=47 M=31 L=7 Off=-0.01 Min=3 TP=30.0 SL=None
Valid Cycle 052 (Attempt 121): PPH=1.71    | Trades=43  | H=45 M=10 L=3 Off=0.8 Min=5 TP=50.0 SL=30.0
Valid Cycle 053 (Attempt 123): PPH=-1.47   | Trades=89  | H=40 M=24 L=6 Off=0.68 Min=1 TP=10.0 SL=30.0
Valid Cycle 054 (Attempt 125): PPH=1.73    | Trades=16  | H=32 M=21 L=14 Off=-0.08 Min=5 TP=None SL=10.0
Valid Cycle 055 (Attempt 128): PPH=1.66    | Trades=24  | H=21 M=16 L=14 Off=1.36 Min=10 TP=10.0 SL=20.0
Valid Cycle 056 (Attempt 129): PPH=-2.89   | Trades=69  | H=28 M=19 L=5 Off=1.26 Min=3 TP=30.0 SL=10.0
Valid Cycle 057 (Attempt 130): PPH=1.35    | Trades=35  | H=34 M=12 L=9 Off=1.16 Min=8 TP=10.0 SL=30.0
Valid Cycle 058 (Attempt 131): PPH=4.83    | Trades=33  | H=46 M=29 L=13 Off=0.28 Min=8 TP=10.0 SL=30.0
Valid Cycle 059 (Attempt 134): PPH=1.14    | Trades=20  | H=33 M=18 L=5 Off=-0.19 Min=2 TP=50.0 SL=None
Valid Cycle 060 (Attempt 138): PPH=-0.85   | Trades=58  | H=28 M=24 L=8 Off=0.53 Min=1 TP=10.0 SL=None
Valid Cycle 061 (Attempt 139): PPH=3.6     | Trades=20  | H=50 M=21 L=2 Off=-0.01 Min=8 TP=None SL=None
Valid Cycle 062 (Attempt 141): PPH=3.06    | Trades=21  | H=46 M=15 L=5 Off=1.05 Min=10 TP=20.0 SL=20.0
Valid Cycle 063 (Attempt 142): PPH=3.59    | Trades=31  | H=45 M=33 L=12 Off=1.05 Min=8 TP=10.0 SL=20.0
Valid Cycle 064 (Attempt 143): PPH=0.94    | Trades=50  | H=53 M=22 L=13 Off=1.13 Min=2 TP=20.0 SL=None
Valid Cycle 065 (Attempt 145): PPH=2.46    | Trades=13  | H=35 M=15 L=9 Off=-0.41 Min=10 TP=50.0 SL=20.0
Valid Cycle 066 (Attempt 147): PPH=0.8     | Trades=24  | H=44 M=14 L=7 Off=1.92 Min=10 TP=10.0 SL=20.0
Valid Cycle 067 (Attempt 148): PPH=3.88    | Trades=40  | H=21 M=16 L=15 Off=0.71 Min=3 TP=30.0 SL=20.0
Valid Cycle 068 (Attempt 149): PPH=1.87    | Trades=43  | H=43 M=10 L=7 Off=0.68 Min=5 TP=20.0 SL=20.0
Valid Cycle 069 (Attempt 151): PPH=2.82    | Trades=10  | H=48 M=30 L=11 Off=-1.04 Min=15 TP=30.0 SL=30.0
Valid Cycle 070 (Attempt 153): PPH=-3.09   | Trades=68  | H=49 M=33 L=9 Off=1.66 Min=2 TP=10.0 SL=None
Valid Cycle 071 (Attempt 154): PPH=0.91    | Trades=38  | H=43 M=18 L=14 Off=1.25 Min=5 TP=None SL=30.0
Valid Cycle 072 (Attempt 156): PPH=3.09    | Trades=7   | H=32 M=11 L=3 Off=-1.33 Min=8 TP=30.0 SL=30.0
Valid Cycle 073 (Attempt 158): PPH=3.1     | Trades=7   | H=57 M=8 L=5 Off=-1.35 Min=8 TP=None SL=30.0
Valid Cycle 074 (Attempt 160): PPH=2.24    | Trades=13  | H=39 M=31 L=9 Off=-0.16 Min=10 TP=50.0 SL=10.0
Valid Cycle 075 (Attempt 162): PPH=1.66    | Trades=18  | H=47 M=10 L=7 Off=-0.41 Min=2 TP=50.0 SL=None
Valid Cycle 076 (Attempt 166): PPH=0.33    | Trades=6   | H=26 M=25 L=2 Off=-1.63 Min=15 TP=10.0 SL=30.0
Valid Cycle 077 (Attempt 168): PPH=2.77    | Trades=11  | H=48 M=10 L=9 Off=-0.84 Min=15 TP=30.0 SL=None
Valid Cycle 078 (Attempt 169): PPH=-0.28   | Trades=39  | H=32 M=23 L=12 Off=1.59 Min=5 TP=None SL=30.0
Valid Cycle 079 (Attempt 170): PPH=0.94    | Trades=21  | H=46 M=34 L=13 Off=0.67 Min=15 TP=10.0 SL=10.0
Valid Cycle 080 (Attempt 171): PPH=3.71    | Trades=19  | H=36 M=30 L=3 Off=-0.01 Min=8 TP=50.0 SL=None
Valid Cycle 081 (Attempt 172): PPH=-2.28   | Trades=58  | H=16 M=10 L=9 Off=1.83 Min=3 TP=None SL=None
Valid Cycle 082 (Attempt 173): PPH=4.13    | Trades=28  | H=17 M=12 L=10 Off=0.85 Min=8 TP=20.0 SL=30.0
Valid Cycle 083 (Attempt 174): PPH=2.52    | Trades=14  | H=27 M=24 L=5 Off=-1.22 Min=15 TP=10.0 SL=30.0
Valid Cycle 084 (Attempt 176): PPH=-2.46   | Trades=72  | H=57 M=20 L=5 Off=0.99 Min=3 TP=10.0 SL=None
