captured_at,source_timestamp,product,bid,ask,mid
2026-05-05T13:16:01.050731,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:02.084120,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:03.144056,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:04.180407,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:05.214659,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:06.262137,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:07.302208,2026-05-05T13:15:59.221524+01:00,eur,1.1692,1.16925,1.169225
2026-05-05T13:16:08.314560,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:09.324825,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:10.381673,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:11.405914,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:12.426252,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:13.502166,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:14.520566,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:15.531835,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:16.548294,2026-05-05T13:16:08.187026+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:17.587706,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:18.612805,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:19.646476,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:20.693132,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:21.741919,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:22.756885,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:23.797696,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:24.825653,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:25.856400,2026-05-05T13:16:17.482382+01:00,eur,1.1691,1.1692,1.1691500000000001
2026-05-05T13:16:26.942562,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:28.009594,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:29.034725,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:30.072481,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:31.105514,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:32.130816,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:33.247248,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:34.380324,2026-05-05T13:16:26.334902+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:35.440681,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:36.493747,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:37.564142,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:38.594340,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:39.612371,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:40.633905,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:41.655055,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:42.674051,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:43.697390,2026-05-05T13:16:35.308626+01:00,eur,1.16915,1.1692,1.169175
2026-05-05T13:16:44.715945,2026-05-05T13:16:44.108969+01:00,eur,1.1691,1.16915,1.169125
2026-05-05T13:16:45.734224,2026-05-05T13:16:44.108969+01:00,eur,1.1691,1.16915,1.169125
