open_hour,threshold,rule,total_net,avg_day,switches,opened_days,skipped_days
0,0,rank-1 + gap>0,1234.9999999999436,77.18749999999648,6,15,1
0,5,rank-1 + gap>5,1440.0000000000828,90.00000000000517,6,15,1
0,10,rank-1 + gap>10,1440.0000000000828,90.00000000000517,6,15,1
0,15,rank-1 + gap>15,1340.0000000001992,83.75000000001245,5,15,1
0,20,rank-1 + gap>20,1340.0000000001992,83.75000000001245,5,15,1
0,25,rank-1 + gap>25,1390.000000000177,86.87500000001106,4,15,1
0,50,rank-1 + gap>50,1290.0000000000266,80.62500000000166,3,15,1
0,75,rank-1 + gap>75,1290.0000000000266,80.62500000000166,3,15,1
0,100,rank-1 + gap>100,1170.000000000023,73.12500000000144,2,15,1
0,150,rank-1 + gap>150,1265.000000000017,79.06250000000107,0,15,1
0,200,rank-1 + gap>200,1265.000000000017,79.06250000000107,0,15,1
1,0,rank-1 + gap>0,2039.9999999999566,127.49999999999729,8,15,1
1,5,rank-1 + gap>5,2139.9999999999563,133.74999999999727,6,15,1
1,10,rank-1 + gap>10,2139.9999999999563,133.74999999999727,6,15,1
1,15,rank-1 + gap>15,2040.000000000073,127.50000000000456,5,15,1
1,20,rank-1 + gap>20,2040.000000000073,127.50000000000456,5,15,1
1,25,rank-1 + gap>25,2090.0000000000505,130.62500000000315,4,15,1
1,50,rank-1 + gap>50,2090.0000000000505,130.62500000000315,4,15,1
1,75,rank-1 + gap>75,2019.999999999895,126.24999999999343,3,15,1
1,100,rank-1 + gap>100,1899.999999999892,118.74999999999325,2,15,1
1,150,rank-1 + gap>150,1994.9999999998859,124.68749999999287,0,15,1
1,200,rank-1 + gap>200,1994.9999999998859,124.68749999999287,0,15,1
2,0,rank-1 + gap>0,2139.9999999999563,133.74999999999727,6,15,1
2,5,rank-1 + gap>5,2139.9999999999563,133.74999999999727,6,15,1
2,10,rank-1 + gap>10,2079.9999999998854,129.99999999999284,4,15,1
2,15,rank-1 + gap>15,1980.0000000000016,123.7500000000001,3,15,1
2,20,rank-1 + gap>20,1980.0000000000016,123.7500000000001,3,15,1
2,25,rank-1 + gap>25,2029.9999999999793,126.8749999999987,2,15,1
2,50,rank-1 + gap>50,2029.9999999999793,126.8749999999987,2,15,1
2,75,rank-1 + gap>75,2029.9999999999793,126.8749999999987,2,15,1
2,100,rank-1 + gap>100,1909.9999999999764,119.37499999999852,1,15,1
2,150,rank-1 + gap>150,1959.9999999999702,122.49999999999814,0,15,1
2,200,rank-1 + gap>200,1959.9999999999702,122.49999999999814,0,15,1
3,0,rank-1 + gap>0,2189.9999999999563,136.87499999999727,5,15,1
3,5,rank-1 + gap>5,2189.9999999999563,136.87499999999727,5,15,1
3,10,rank-1 + gap>10,2189.9999999999563,136.87499999999727,5,15,1
3,15,rank-1 + gap>15,1999.999999999915,124.99999999999469,3,15,1
3,20,rank-1 + gap>20,1999.999999999915,124.99999999999469,3,15,1
3,25,rank-1 + gap>25,2049.9999999998927,128.1249999999933,2,15,1
3,50,rank-1 + gap>50,2049.9999999998927,128.1249999999933,2,15,1
3,75,rank-1 + gap>75,2049.9999999998927,128.1249999999933,2,15,1
3,100,rank-1 + gap>100,1929.9999999998897,120.62499999999311,1,15,1
3,150,rank-1 + gap>150,1979.9999999998836,123.74999999999272,0,15,1
3,200,rank-1 + gap>200,1979.9999999998836,123.74999999999272,0,15,1
