open_hour,total_net,avg_day,opened_days,switches,days
0,464372.5,30958.166666666668,15,3,15
1,464372.5,30958.166666666668,15,3,15
2,464372.5,30958.166666666668,15,3,15
3,464372.5,30958.166666666668,15,3,15
