open_hour,total_net_return,avg_day,opened_days,switches,usable_days
0,-307.5,-20.5,15,13,15
1,-307.5,-20.5,15,13,15
2,-382.5,-25.5,15,13,15
3,-485.0,-32.333333333333336,15,13,15
