open_hour,total_net,avg_day,opened_days,switches,days
0,16415.0,713.695652173913,23,5,23
1,16415.0,713.695652173913,23,5,23
2,16415.0,713.695652173913,23,5,23
3,16415.0,713.695652173913,23,5,23
