open_hour,total_net,avg_day,opened_days,switches,days
0,10642.5,760.1785714285714,14,3,14
1,10642.5,760.1785714285714,14,3,14
2,10642.5,760.1785714285714,14,3,14
3,10642.5,760.1785714285714,14,3,14
