date,time,event,from_product,from_strategy,from_rank,from_net,to_product,to_strategy,to_rank,to_net,source_file,open_hour
2026-04-20,2026-04-20T01:28:46.267813,open,,,,,EURAUD_C,breakout_2_tp20.0_sl20.0,1,180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\002853\_summary_net_pre_auto_archive.json,0
2026-04-20,2026-04-20T06:27:39.038477,replace,EURAUD_C,breakout_2_tp20.0_sl20.0,13,140.0,EURAUD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\052752\_summary_net_pre_auto_archive.json,0
2026-04-20,2026-04-20T08:16:22.495092,replace,EURAUD_C,breakout_2_tp10.0_sl20.0,10,240.0,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\071633\_summary_net_pre_auto_archive.json,0
2026-04-20,2026-04-20T01:28:46.267813,open,,,,,EURAUD_C,breakout_2_tp20.0_sl20.0,1,180.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\002853\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T06:27:39.038477,replace,EURAUD_C,breakout_2_tp20.0_sl20.0,13,140.0,EURAUD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\052752\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T08:16:22.495092,replace,EURAUD_C,breakout_2_tp10.0_sl20.0,10,240.0,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\071633\_summary_net_pre_auto_archive.json,1
2026-04-20,2026-04-20T06:27:39.038477,open,,,,,EURAUD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\052752\_summary_net_pre_auto_archive.json,2
2026-04-20,2026-04-20T08:16:22.495092,replace,EURAUD_C,breakout_2_tp10.0_sl20.0,10,240.0,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\071633\_summary_net_pre_auto_archive.json,2
2026-04-20,2026-04-20T06:27:39.038477,open,,,,,EURAUD_C,breakout_2_tp10.0_sl20.0,1,240.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\052752\_summary_net_pre_auto_archive.json,3
2026-04-20,2026-04-20T08:16:22.495092,replace,EURAUD_C,breakout_2_tp10.0_sl20.0,10,240.0,EURAUD_C,breakout_2_tp20.0_sl20.0,1,360.0,C:\Users\edebe\eds\TradeApps\breakout\fs\json\live\forex\2026-04-20\archive\071633\_summary_net_pre_auto_archive.json,3
